post_no,category,series,headline_bn,hook_bn,main_focus,reader_connection,historical_angle,modern_connection,format,image_concept,discussion_question_bn,seo_potential,follow_up_topic,priority,map_recommended
48,Religion culture and ideas,—,সুফি দরগাহ কেন শুধু ধর্মীয় স্থান নয়—সামাজিক ভূগোলও?,তীর্থ বাজার জমি স্মৃতি ও স্থানীয় ক্ষমতা দরগাহকে জনজীবনের কেন্দ্র করেছে।,Shrine networks patronage mobility and belonging,Connects sacred places to everyday economies,Religious institutions shape settlement and memory,Heritage and plural public space,Photo/archive-led,Shrine architecture with route map,একটি পবিত্র স্থান কীভাবে স্থানীয় অর্থনীতি ও পরিচয় গড়ে?,Sufi shrines Bengal,বাগেরহাটের মসজিদ-নগরী,High,Yes
49,Global historical peoples,—,সামি জনগোষ্ঠীর ইতিহাসে সীমান্ত ভাষা ও ভূমির অধিকার কেন একসঙ্গে আসে?,রাষ্ট্রসীমা প্রাচীন চলাচল ও জীবিকার ওপর বসানো হয়েছিল।,Sápmi across four states land use assimilation and language revival,Connects a distant story to borderland life,State borders can conflict with seasonal livelihoods,Indigenous rights and cultural policy,Map explainer,Four-state Sápmi map and seasonal routes,সীমান্ত কি পশুপালনের পথ থামাতে পারে?,Sámi history,তুয়ারেগ ও সাহারার সীমান্ত,Experimental,Yes
50,South Asian peoples,বিভক্ত জাতি,সিন্ধিরা দেশভাগের পরে কীভাবে নতুন শহর ও প্রবাসে পরিচয় বানাল?,ভূখণ্ড হারালেও ভাষা ব্যবসা স্মৃতি ও প্রতিষ্ঠান নতুন মানচিত্র বানিয়েছে।,Sindh partition refugee settlement language and mercantile networks,Links to Bengali refugee history without conflation,Urban institutions can carry a displaced identity,Migration memory and diaspora networks,Before / After,Sindh-to-India routes and urban settlement,ভূমি হারালে কি পরিচয়ও হারায়?,Sindhi partition history,পূর্ব বাংলার উদ্বাস্তু কলোনি,High,Yes
51,Bengal & Bangladesh history,—,পূর্ব বাংলার মানুষ কেন কলকাতা আসাম ও করাচির সঙ্গে একই অর্থনীতিতে যুক্ত ছিল?,দেশভাগের আগে নদী রেল বাজার ও আত্মীয়তার পথ রাজনৈতিক সীমা মানত না।,Regional circuits before and after 1947,Partition becomes an economic rupture readers can feel,Political borders interrupted connected markets,Regional trade and migration,Map carousel,Rail river and market routes before and after 1947,দেশভাগে কোন জিনিসটি আগে ভেঙেছিল—মানুষ বাজার না পথ?,Bengal economy partition,1947-এর পর নদীবন্দর,High,Yes
52,Empires states and political transformation,—,ইউরোপীয় বণিকরা কীভাবে এশিয়ার রাজনীতির খেলোয়াড় হলো?,কারখানা দুর্গ চুক্তি বন্দুক ও স্থানীয় মিত্র বাণিজ্যকে ক্ষমতায় বদলেছে।,Portuguese Dutch French and English strategies in Bengal,Expands Company history into Indian Ocean competition,Trading posts became political actors through alliances and force,Port economies and globalisation,Comparative timeline,Coastal factories and sea lanes,বাণিজ্যিক ঘাঁটি কখন রাজনৈতিক ক্ষমতা হয়ে ওঠে?,European trading companies India,হুগলিতে পর্তুগিজদের পরিণতি,High,Yes
53,Borders partition geopolitics,Past → Present,সীমান্তে বসবাসকারী মানুষ কি সবসময় দুই দেশের মাঝখানে?,তারা মাঝখানে নয়—নিজস্ব বাজার আত্মীয়তা ভাষা ও স্থানীয় ইতিহাসের কেন্দ্রেও থাকে।,Borderland agency using Bengal Punjab and CHT examples,Corrects victim-only border narratives,Communities negotiate states through everyday life,Border haats and cross-border kinship,Comparative map,Three borderland vignettes,মানচিত্রের প্রান্তে থাকা মানে কি ইতিহাসের প্রান্তে থাকা?,Borderland history South Asia,সীমান্ত হাটের ইতিহাস,High,Yes
54,Global historical peoples,Myth vs History,রোমা জনগোষ্ঠীর ইতিহাস ‘ভবঘুরে’ stereotype দিয়ে বোঝা যায় না কেন?,চলাচল বহিষ্কার শ্রম ভাষা ও রাষ্ট্রীয় শ্রেণিবিভাগের দীর্ঘ ইতিহাস আছে।,Roma dispersal persecution emancipation and identity,Challenges a damaging stereotype,States classified mobility in ways that shaped marginalisation,Minority rights and representation,Myth vs History,Migration map with archive detail,কোনো জনগোষ্ঠীকে stereotype-এ আটকে দিলে কী হারায়?,Roma history Europe,ইহুদি diaspora ও রাষ্ট্র,Experimental,Yes
55,Bengal & Bangladesh history,—,বাংলার নদীপথে নৌকার মানুষদের ইতিহাস কোথায়?,সাম্রাজ্য বাজার ও যুদ্ধের নীচে মাঝি নাবিক ও নৌ-শ্রমিক চলাচলের অবকাঠামো বানিয়েছিল।,River labour boatbuilding ferries and wartime operations,Foregrounds underrepresented workers,Infrastructure history explains commerce and mobility,Transport livelihoods and river change,Photo/archive-led,Boat profile and route diagram,ইতিহাসে অবকাঠামো বানানো মানুষদের নাম কেন কম থাকে?,Bengal river trade history,১৯৭১-এর নদীযুদ্ধ ও নৌকা,High,Yes
56,Religion culture and ideas,—,খাদ্য কি ইতিহাসের দলিল হতে পারে?,চাল ইলিশ মাংস মসলা ও রান্নার পথ মানুষ বন্দর ধর্ম ও শ্রেণির চলাচল দেখায়।,Foodways migration and layered regional cuisines,Family memory becomes historical evidence,Recipes reflect mobility without one fixed authentic cuisine,Migration and cultural exchange,Comparative history,Ingredient routes and old cookbook,আপনার পরিবারের কোন খাবারের পেছনে migration-এর গল্প আছে?,Bengal food history,দেশভাগ ও রান্নার স্মৃতি,Medium,No
57,South Asian peoples,—,মণিপুরের ইতিহাসকে শুধু সংঘাতের খবর দিয়ে পড়া যায় না কেন?,রাজ্য ভাষা পাহাড়-উপত্যকা ও পরিচয়ের বহু স্তর বর্তমানকে তৈরি করেছে।,Kingdom colonial incorporation constitutional setting and diversity,Complex places resist news-only framing,Internal diversity matters to state formation,Autonomy and citizenship,Map/timeline,Valley-hills relationship and boundaries,একটি অঞ্চলের ভেতরের বৈচিত্র্যকে মানচিত্রে কীভাবে দেখাব?,Manipur history,নাগা-কুকি-মেইতেই পৃথক পাঠ,Medium,Yes
58,Borders partition geopolitics,—,সীমান্ত হাট কি শুধু বাজার নাকি সম্পর্ক পুনর্গঠনের জায়গা?,রাষ্ট্রের কড়াকড়ির মাঝেও স্থানীয় বাণিজ্য ও আত্মীয়তা নতুন পথ খোঁজে।,Border haats formal exchange trust and limits,Connects policy to everyday livelihood,Small-scale trade can reopen older social geographies,India Bangladesh border economy,Photo/map-led,Market crossing with small country labels,বাণিজ্য কি সীমান্তকে নরম করতে পারে?,Bangladesh India border haat,পুরোনো হাট ও নদীবন্দর,High,Yes
59,Empires states and political transformation,সাম্রাজ্য কীভাবে ভাঙে,রাষ্ট্রের পতন মানেই কি সমাজের পতন?,রাজধানী ও রাজবংশ হারালেও ভাষা বাজার ধর্মীয় প্রতিষ্ঠান ও স্থানীয় ক্ষমতা টিকে থাকতে পারে।,Comparative Bengal Sultanate Mughal regionalisation and postcolonial transitions,Teaches a transferable historical idea,Political regimes change faster than social worlds,Institutional resilience and memory,Comparative carousel,Three state-ends society-continues panels,রাষ্ট্র বদলালে কোন জিনিসগুলো সবচেয়ে ধীরে বদলায়?,Empire collapse society,সাম্রাজ্যের পরে শহরের জীবন,Medium,No
60,Bengal & Bangladesh history,Past → Present,আজকের বাংলাদেশকে বুঝতে ১০টি মানচিত্র যথেষ্ট কি?,নদী জেলা ভাষা বন্দর দেশভাগ ১৯৭১ ও অভিবাসনের মানচিত্র একসঙ্গে দেখলে রাষ্ট্রের গল্প বদলায়।,Synthesis of the full cycle into a visual learning path,Encourages saves shares and site reading,Historical layers explain present geography and identity,Readers can choose the next long-form path,Carousel,Ten clean maps with one final reading-path card,কোন মানচিত্রটি আপনার কাছে সবচেয়ে বেশি ব্যাখ্যা দেয়?,Bangladesh historical maps,Reader-voted map series,High,Yes
